Period_YYYYMM,Average post engageme,Followers,Inbound messages,New followers,Page & profile impressions,Page & profile reach,Post comments & replies,Post impressions,Post link clicks,Post reach,Post reactions & likes,Post video views,Posts
202501,4.07,107512,249,1480,1828186,937891,102,219590,0,156285,2873,71935,108
202502,3.95,104381,242,1437,1774938,910574,99,213194,0,151733,2789,69840,105
202503,4.07,107609,250,1481,1829833,938736,102,219788,0,156426,2875,72000,108
202504,3.95,104475,243,1438,1776537,911394,99,213386,0,151870,2791,69903,105
202505,4.07,107706,251,1482,1831481,939581,102,219986,0,156567,2877,72065,108
202506,3.95,104569,244,1439,1778137,912215,99,213579,0,152007,2793,69966,105
202507,4.07,107803,252,1483,1833131,940428,102,220185,0,156708,2879,72130,108
202508,3.95,104663,245,1440,1779739,913037,99,213772,0,152144,2795,70029,105
202509,4.07,107900,253,1485,1834782,941275,102,220383,0,156849,2881,72195,108
202510,3.95,104757,246,1442,1781342,913859,99,213964,0,152281,2797,70092,105
202511,4.07,107997,254,1487,1836435,942123,102,220581,0,156991,2884,72260,108
202512,3.95,104851,247,1444,1782947,914683,99,214156,0,152418,2800,70155,105
202601,4.07,108094,255,1489,1838090,942972,102,220779,0,157132,2887,72325,108
