event_id,ad_id,user_id,timestamp,day_of_week,time_of_day,event_type,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests,name,start_date,end_date,duration_days,total_budget
197526,103,54bcd,2025-08-06 00:31:21,Wednesday,Night,Click,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
241661,103,db846,2025-08-06 03:00:19,Wednesday,Night,Click,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
353809,103,a05ee,2025-08-06 04:01:35,Wednesday,Night,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
110643,103,f5fdb,2025-08-06 04:46:22,Wednesday,Night,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
92638,103,fe26c,2025-08-06 05:18:48,Wednesday,Night,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
72294,103,d95a2,2025-08-06 07:24:28,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
234585,103,a8ec5,2025-08-06 07:35:08,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
178366,103,47376,2025-08-06 07:56:58,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
279493,103,b1b72,2025-08-06 08:15:42,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
228805,103,ed307,2025-08-06 08:53:50,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
107857,103,e805c,2025-08-06 09:37:49,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
320835,103,cd54d,2025-08-06 11:45:35,Wednesday,Morning,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
160648,103,5f72c,2025-08-06 12:20:30,Wednesday,Afternoon,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
98579,103,26c8a,2025-08-06 13:08:00,Wednesday,Afternoon,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
