event_id,ad_id,user_id,timestamp,day_of_week,time_of_day,event_type,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests,name,start_date,end_date,duration_days,total_budget
167350,103,b2c80,2025-05-07 14:14:11,Wednesday,Afternoon,Click,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
183444,103,c84c5,2025-05-07 14:59:32,Wednesday,Afternoon,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
248701,103,967cf,2025-05-07 16:10:28,Wednesday,Afternoon,Like,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
170634,103,87cdb,2025-05-07 16:52:52,Wednesday,Afternoon,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
163116,103,c3628,2025-05-07 16:55:10,Wednesday,Afternoon,Like,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
16602,103,b56bd,2025-05-07 18:20:30,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
321877,103,2fbc1,2025-05-07 18:58:51,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
298491,103,9a93d,2025-05-07 20:45:41,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
358635,103,267ed,2025-05-07 21:27:35,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
254755,103,ac670,2025-05-07 22:11:20,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
48121,103,64457,2025-05-07 22:16:29,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
364878,103,ed1f3,2025-05-07 22:51:09,Wednesday,Evening,Impression,22,Facebook,Stories,Female,35-44,"health, fitness",Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
